epoch,train_loss,train_rce,train_property,train_kl,valid_loss,valid_rce,valid_property,valid_kl
34,107.1653338461183,106.67366203572601,0.0,0.7023882926328042,35.71214506076649,35.5638020792976,0.0,0.21191857894291388
35,106.82220479194075,106.30121095851064,0.0,0.7236024892245041,33.831529983785,33.71271103201434,0.0,0.16502628005582665
36,106.49433706887066,105.94170622481033,0.0,0.746798448150912,37.82012443430722,37.682222397532314,0.0,0.18635412454750622
37,106.15329551277682,105.57428412744775,0.0,0.7618571078179457,35.41274823108688,35.27024286612868,0.0,0.18750706773903403
38,105.86532147461548,105.25394205376506,0.0,0.7838197822284201,40.223119008820504,40.01443426357582,0.0,0.26754456897288037
39,105.57355359615758,104.9268857780844,0.0,0.8083348076995662,41.840337831526995,41.685083652380854,0.0,0.19406776025039107
40,105.00479720532894,104.33401117427275,0.0,0.8180317609028407,33.934384264051914,33.760588868521154,0.0,0.2119456095338137
41,104.66168819367886,103.96489380206913,0.0,0.8295171525453497,37.69453138764948,37.50079889036715,0.0,0.2306339366029988
42,104.42346835322678,103.6949549834244,0.0,0.8471085789345665,39.995001775212586,39.77679328201339,0.0,0.253730829586857
43,104.18772646365687,103.41073890263215,0.0,0.8829404146588331,34.970201562624425,34.749599419534206,0.0,0.25068423381299
44,103.95866572903469,103.15120777487755,0.0,0.8971754655512996,31.759367763996124,31.528424547985196,0.0,0.2566035694899256
45,103.7189838187769,102.87469568755478,0.0,0.9177044746747924,38.29788464959711,38.14615752454847,0.0,0.1649207950138134
46,103.49444152368233,102.61774617014453,0.0,0.9326546012898689,38.92551206238568,38.58163534058258,0.0,0.36582628232508796
47,103.30895702913404,102.38346929382533,0.0,0.9640497425561989,28.8126961030066,28.582030836492777,0.0,0.240276328325308
48,103.09059729613364,102.13506581587717,0.0,0.9750320804183161,44.82513015251607,44.53763794992119,0.0,0.29335939912834874
49,102.90060893353075,101.89475735649467,0.0,1.0058515770360827,35.05059022875503,34.71963200857863,0.0,0.3309582178480923
50,102.42010919284075,101.42955260071903,0.0,0.9905565921217203,44.22621959121898,43.926333190873265,0.0,0.29988640174269676
51,102.13486328627914,101.15890533709899,0.0,0.975957949180156,36.048843420576304,35.76002887543291,0.0,0.2888145502656698
